Exp or Imp,Year,Commodity,Unit,Quantity-Year,Value-Year,Quantity-Jan,Value-Jan,Quantity-Feb,Value-Feb,Quantity-Mar,Value-Mar,Quantity-Apr,Value-Apr,Quantity-May,Value-May,Quantity-Jun,Value-Jun,Quantity-Jul,Value-Jul,Quantity-Aug,Value-Aug,Quantity-Sep,Value-Sep,Quantity-Oct,Value-Oct,Quantity-Nov,Value-Nov,Quantity-Dec,Value-Dec
2,2023,'01501   ',KG,52202832,31099629,24551617,14964595,27651215,16135034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150101 ',KG,48079018,24861158,22617246,11923844,25461772,12937314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150103 ',KG,59727,111468,41464,71102,18263,40366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01503   ',KG,11526074,5821432,6014129,2986487,5511945,2834945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150301 ',KG,2463321,986967,1373763,573296,1089558,413671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150303 ',KG,4076173,2243595,2257470,1212046,1818703,1031549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01505   ',MT,4218,3366497,2316,1683762,1902,1682735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150501 ',KG,2502696,2088318,1580325,1095677,922371,992641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150503 ',KG,422787,415982,229235,212726,193552,203256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0150505 ',KG,1292433,862197,506522,375359,785911,486838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'017     ',MT,1605063,101209102,877242,55133048,727821,46076054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01701   ',MT,20692,982074,11578,553302,9114,428772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01703   ',MT,934039,37419673,511157,20998060,422882,16421613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01705   ',MT,29435,5784890,14415,2874510,15020,2910380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'019     ',  ,0,37132492,0,19842180,0,17290312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'1       ',  ,0,159657660,0,81992053,0,77665607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'101     ',KL,123281,63284617,62965,31059824,60316,32224793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'10101   ', L,79430099,56755471,40443673,27583245,38986426,29172226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'1010101 ', L,25179167,16580719,13804462,8257273,11374705,8323446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'10101011', L,10894691,10237065,5594420,4821316,5300271,5415749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'10101012', L,389422,1171727,172383,587946,217039,583781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'1010103 ', L,37900397,37481067,17156671,17823729,20743726,19657338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'1010105 ', L,5533896,1139070,3048244,600497,2485652,538573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'103     ',  ,0,96373043,0,50932229,0,45440814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'10301   ',KG,4280300,2183199,3592040,1792193,688260,391006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'10303   ',  ,0,94189844,0,49140036,0,45049808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'1030301 ',TH,4712265,25047960,1881729,10651952,2830536,14396008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2       ',  ,0,1106343656,0,604937545,0,501406111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'201     ',MT,5502,1791577,3034,973413,2468,818164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20101   ',MT,5502,1789296,3034,971346,2468,817950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2010101 ',MT,2457,540319,1584,356301,873,184018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2010103 ',MT,24,21274,0,0,24,21274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2010105 ',MT,17,86840,1,33361,16,53479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20103   ',KG,360,2281,350,2067,10,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'203     ',MT,831282,84957690,425687,43469103,405595,41488587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20301   ',MT,4083,1147032,1961,512752,2122,634280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20307   ',MT,507881,48462903,264870,25306168,243011,23156735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20309   ',MT,319318,35347755,158856,17650183,160462,17697572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2030901 ',MT,353,64309,308,54140,45,10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2030903 ',MT,11298,653764,7794,450381,3504,203383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2030907 ',MT,286931,29577198,140723,14704269,146208,14872929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2030909 ',MT,19469,4613344,9477,2221300,9992,2392044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2030911 ',MT,76,7665,23,2187,53,5478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'205     ',MT,147639,28946873,68611,14939168,79028,14007705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20501   ',MT,95830,19757335,46565,9753205,49265,10004130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20503   ',MT,852,158685,657,120620,195,38065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20505   ',MT,22065,8276474,12620,4791266,9445,3485208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2050501 ',MT,76,26506,34,11457,42,15049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2050505 ',MT,21989,8249968,12586,4779809,9403,3470159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20505051',MT,120,92711,65,52549,55,40162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20505052',MT,414,197574,274,137383,140,60191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
